ISO-3 code,Number of commercial banks,Branches of commercial banks,Number of Automated Teller Machines (ATMs),Outstanding deposits with commercial banks,Outstanding loans from commercial banks,"Number of commercial bank branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults",Outstanding deposits with commercial banks (% of GDP),Outstanding loans from commercial banks (% of GDP)
AFG,15,401,248,270303.5,41800.98,0.6371963,2.0194,0.379867,1.203873,19.65121,3.038955
ALB,16,472,747,1084835,533511.8,17.81022,20.55975,27.26277,31.47158,69.93157,34.39169
DZA,20,1509,2659,9207501,8877865,0.6419676,5.224062,1.116411,9.084879,49.51837,47.74557
AGO,28,1599,3026,7329423,3617642,1.305045,10.2584,2.427208,19.07925,36.17272,17.85406
AIA,3,3,11,308.935,156.695,0,0,0,0,0,0
ATG,6,12,49,2828,1747,40.90909,24.78485,111.3636,67.46988,69.36084,42.84773
ARG,62,4414,17563,1940567,1551668,1.635552,13.52915,6.417607,53.08589,18.23023,14.5768
ARM,17,525,1493,1995137,2451067,19.03758,23.0085,52.44117,63.37951,35.85479,44.04834
ABW,5,11,108,4409.114,3230.174,88.88889,18.49839,600,124.8642,91.21047,66.82197
AUS,84,5816,31923,1405944,2422164,0.7670287,29.6119,4.150145,160.2205,79.67891,137.271
AUT,39,871,12453,102916.7,91025.55,11.02723,12.04047,150.9034,164.7691,27.82292,24.60821
AZE,30,0,2431,18664.06,11337.56,0,0,29.40607,32.15495,26.5349,16.11872
BHS,8,74,362,6848.911,6596.89,8.191808,27.00246,36.16384,119.206,56.31356,54.24137
BGD,57,10055,9581,9875946,8429594,77.68303,8.841318,73.60375,8.377044,49.98416,42.66388
BRB,5,35,62,9388.316,6004.636,93.02326,17.26557,144.186,26.76163,100.442,64.24132
BLR,28,34,4404,34795.45,38762.51,0.3055542,0.783214,21.7042,55.63346,33.07584,36.84684
BEL,88,3195,8247,445332,349969,108.4214,34.81228,272.358,87.44954,101.4021,79.68791
BLZ,5,46,100,2632,2018,2.235861,19.79053,4.384042,38.80496,70.65336,54.17116
BEN,15,201,313,2060597,1511917,1.915573,3.371337,2.775807,4.885318,38.28361,28.08974
BTN,5,96,217,109571.7,84395.93,2.649736,17.02659,5.692998,36.58187,64.14979,49.4104
BOL,9,3109,3039,119447.7,93871.22,2.878242,40.75032,2.805317,39.71784,46.08593,36.21788
BIH,24,846,1539,15985.84,17335.1,16.99219,30.22958,30.05859,53.47508,50.94886,55.24912
BWA,10,111,512,46405.4,52032.79,0.2135055,7.99954,0.9034284,33.84929,25.76465,28.88902
BRA,121,31632,175580,2228783,2406964,3.799051,19.52398,21.00707,107.9589,34.00727,36.72599
BRN,9,51,226,11854.73,5075.604,11.3852,18.36317,42.88425,69.16793,70.7843,30.30631
BGR,28,3060,5773,69900,51727,28.4451,50.8851,53.17797,95.12943,69.17881,51.19331
BFA,14,287,418,3296844,2598735,1.100146,2.860812,1.527778,3.972822,45.96139,36.22903
BDI,0,0,0,0,0,0,0,0,0,0,0
KHM,39,788,1840,6.97E+07,6.48E+07,4.685022,7.516877,10.42375,16.72437,77.56226,72.14349
CMR,14,253,614,4021187,3241266,0.5648283,1.897631,1.298894,4.363841,19.78117,15.94455
CAN,80,6300,70228,1736860,2063951,0.7015993,20.79213,7.72287,228.8699,81.25554,96.55785
CPV,7,112,179,168753.8,111584.2,29.52854,31.72132,44.41687,47.71527,97.33011,64.3571
CAF,4,14,35,142803,113844,0.0288934,0.6801297,0.0561816,1.322474,12.58462,10.03259
TCD,9,70,121,641770,658574,0.0627382,1.003079,0.0960928,1.536362,11.04584,11.33506
CHL,20,2166,7622,1.08E+08,1.62E+08,2.940021,14.85271,10.25107,51.78744,59.82987,89.84605
HKG,155,1222,3300,1.27E+07,9251255,1311.429,21.04708,3142.857,50.43963,477.3497,347.4608
MAC,29,181,1691,575875.3,458152.4,6907.895,38.88831,55625,313.1435,141.9146,112.9038
CHN,190,100064,960565,1.25E+08,8.39E+07,10.67871,8.784,102.3161,84.16226,152.0318,102.1876
COL,25,5722,15709,3.75E+08,4.19E+08,5.179811,15.35835,14.15863,41.9809,40.80401,45.4908
COM,4,11,25,41183,39540,8.060182,3.060107,13.43364,5.100178,8.831641,8.479301
COD,0,0,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0,0,0
CRI,16,781,2494,1.64E+07,1.73E+07,15.60909,20.54958,48.8445,64.30445,49.79811,52.33948
CIV,28,706,1004,7487552,6207788,2.308176,5.217526,3.157233,7.13678,33.80263,28.02512
HRV,26,1112,4941,250827.9,198230.2,20.33595,32.34155,88.29521,140.4215,68.59911,54.21411
CYP,35,460,476,31901.09,38796.47,53.57143,50.45157,51.51515,48.51504,162.3573,197.4507
CZE,45,1863,4988,3422743,2562575,24.70862,21.28125,64.59466,55.63462,67.81379,50.77154
DNK,71,926,2412,1258855,841197,23.74375,20.7078,57.44225,50.09749,57.79689,38.62126
DJI,12,36,80,300000,102343,2.070751,7.278351,3.451251,12.13059,91.5093,31.21779
DMA,4,5,21,1356.182,728.614,12,15.54834,28,36.27946,101.12,54.32711
DOM,18,945,2970,770583.1,850975.9,19.93376,12.95586,61.47795,39.95733,21.3272,23.55221
ECU,18,1084,3991,33675,37682,4.437107,9.17409,16.06942,33.22486,32.28795,36.12991
EGY,38,3076,11309,3314141,1463380,3.128233,4.853341,11.36069,17.6257,95.50839,42.17233
SLV,14,673,1726,11715.21,11871.7,33.15637,14.80849,83.30116,37.20445,46.99624,47.62403
GNQ,0,0,0,0,0,0,0,0,0,0,0
EST,16,95,748,12973,15094,2.553485,10.07479,17.20727,67.89137,54.93516,63.9167
ETH,0,0,0,0,0,0,0,0,0,0,0
FJI,6,69,325,5585.018,6693.146,4.10509,11.94941,17.78872,51.78078,51.27042,61.44302
FIN,9,57,1498,30417.5,43767.92,0.2171696,1.433379,4.929091,32.53335,13.58579,19.54867
FRA,258,19460,56000,887818,900289,36.01086,35.99915,102.2725,102.2392,38.68382,39.2272
GAB,0,0,0,0,0,0,0,0,0,0,0
GMB,12,73,0,22440,4171,8.399209,7.022681,0,0,32.32487,6.008335
GEO,16,981,2281,15691.41,21964.88,14.34739,33.09133,32.82487,75.70844,41.46056,58.0366
DEU,263,9004,84939,972653,713126,26.52565,12.89777,243.1274,118.2177,29.67812,21.75929
GHA,33,1491,2044,58209.34,37829.52,6.697723,8.512405,8.983036,11.4169,22.67855,14.7385
GRC,29,2080,5680,130874.6,180694.6,16.36152,22.85943,44.06517,61.56547,72.62033,100.2647
GRD,5,15,35,2025.982,1508.024,58.82353,24.4891,102.9412,42.85592,66.58758,49.56395
GTM,18,3554,3961,193722.5,172870.9,33.33333,32.51388,36.96342,36.05472,34.86419,31.11154
GIN,16,170,165,1.54E+07,7654864,0.7569591,2.669366,0.671496,2.367986,17.07935,8.494989
GNB,5,28,51,137581,97728,1.173542,3.085459,1.813656,4.768436,17.54883,12.46547
GUY,6,40,112,294704.8,140786.9,0.2336805,8.357179,0.5689611,20.34791,40.14232,19.17685
HTI,8,186,165,243564.9,87160.76,7.039187,2.635438,5.986938,2.241481,44.13118,15.79254
HND,15,1225,1513,251687.5,302431.3,11.08231,19.23886,13.52221,23.47452,46.38806,55.74056
HUN,44,1183,5107,1.42E+07,1.13E+07,13.55352,14.63044,56.41224,60.89457,37.13662,29.33624
ISL,8,87,244,1173287,2291125,0.9476309,34.62036,2.433915,88.91966,44.84276,87.56627
IND,162,140674,213396,1.07E+08,7.92E+07,47.36865,14.56809,71.77342,22.07371,62.76705,46.31685
IDN,115,32285,106653,5.29E+09,4.74E+09,17.88504,16.85319,58.87324,55.47665,38.92784,34.87081
IRN,29,17441,47374,1.10E+10,6.60E+09,10.72595,28.37727,29.08593,76.95162,71.49988,43.0672
IRQ,69,843,611,5.37E+07,2.58E+07,2.100763,4.074715,1.407419,2.72988,23.50059,11.27215
IRL,58,724,3376,136109,126709,11.35143,20.75822,49.00566,89.61606,46.27824,43.08216
ISR,16,1107,7621,1253305,925436.5,51.89464,17.8663,352.1719,121.2458,98.56052,72.7768
ITA,249,23119,48387,1085419,980081,79.44516,44.63491,164.5033,92.42337,62.83609,56.73796
JAM,8,140,745,893018,614903,13.66574,6.557284,68.7904,33.00795,47.06776,32.40932
JPN,117,37464,141115,7.84E+08,5.39E+08,103.0859,34.02623,387.0831,127.767,143.7977,98.91932
JOR,25,894,1752,33198,24624,10.35143,14.68624,19.73417,27.99815,116.6951,86.55641
KAZ,32,333,9698,1.52E+07,1.38E+07,0.1352002,2.807662,3.592251,74.5992,28.67107,25.91723
KEN,42,1518,2825,3026425,2570259,2.740978,5.217626,4.963629,9.448586,37.15971,31.55871
KIR,0,0,0,0,0,0,0,0,0,0,0
KOR,56,6824,121492,1.31E+09,1.50E+09,70.57206,15.44958,1246.212,272.8198,75.44842,86.93566
UVK,10,228,512,3094.584,2656.182,21.86094,16.73945,47.02857,36.01092,48.24809,41.4129
KWT,23,442,2103,26820,34080,26.09428,14.52848,118.0135,65.7062,73.9658,93.98787
KGZ,25,319,1413,121597,108325,1.793535,8.143085,7.367049,33.4482,22.92226,20.42036
LAO,41,103,1201,6.80E+07,6.69E+07,0.6239168,3.085799,5.20364,25.73642,48.33573,47.55934
LVA,21,249,1016,10688,11117,4.342232,16.43302,16.33966,61.83686,39.53678,41.12373
LBN,49,1065,1902,2.01E+08,8.06E+07,108.8954,21.26333,185.9238,36.30417,249.5384,100.1015
LSO,4,49,203,11066,6109,1.745718,3.922338,6.68643,15.02329,32.18912,17.77005
LBR,0,0,0,0,0,0,0,0,0,0,0
LBY,18,522,172,95938.4,17447,0.3068984,11.79152,0.0977528,3.755819,135.8252,24.70066
LTU,12,316,1126,17287,16798,5.236103,13.6148,17.97516,46.73861,40.97336,39.81434
LUX,139,217,578,52421,56735,146.5021,71.44577,237.8601,115.999,94.79492,102.5961
MDG,11,339,422,7448058,4549671,0.6015813,2.318711,0.7253352,2.795703,20.78451,12.69629
MWI,0,0,0,0,0,0,0,0,0,0,0
MYS,43,2364,11190,1298458,1474669,7.32613,10.22417,34.05874,47.53155,95.94186,108.962
MDV,8,44,117,28822.83,22039.61,173.3333,13.67716,390,30.7736,38.49914,29.43868
MLI,13,486,472,2745323,2351679,0.4089527,5.154482,0.386825,4.875582,30.74577,26.33723
MLT,25,104,220,14649,8740,403.125,32.21159,687.5,54.93449,129.4849,77.25429
MHL,2,5,3,227.208,119.65,38.88889,14.41991,16.66667,6.17996,111.2819,58.60215
MRT,17,204,0,525018,472245,0.2144174,8.322967,0,0,29.22096,26.28377
MUS,21,171,449,764177,312460.1,94.58128,18.60315,221.1823,43.50425,167.1425,68.34196
MEX,48,13331,50705,5273627,4745929,6.882379,14.6215,26.08349,55.41394,24.05715,21.64991
FSM,2,8,10,298,72,14.28571,13.41436,14.28571,13.41436,88.57778,21.40134
MDA,11,794,1099,59896.89,33473.29,24.47552,26.91807,33.41441,36.74902,33.48423,18.71261
