Year,ISO-3 code,Country,Number of commercial banks,Branches of commercial banks,Outstanding deposits with commercial banks,"Number of commercial bank branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of ATMs per 100,000 adults",Outstanding deposits with commercial banks (% of GDP)
2004,AFG,"Afghanistan, Islamic Republic of",10,37,9095,0.0719909,0.3644641,0.0155091,3.64103
2005,AFG,"Afghanistan, Islamic Republic of",12,66,19700,0.1194743,0.5798153,0.0594682,6.392716
2006,AFG,"Afghanistan, Islamic Republic of",12,115,33032.64,0.1945287,0.9185478,0.1157226,9.490818
2007,AFG,"Afghanistan, Islamic Republic of",15,159,58543.37,0.2665196,1.230544,0.2050907,12.06038
2008,AFG,"Afghanistan, Islamic Republic of",16,196,93262.67,0.3247251,1.468112,0.2977774,18.10761
2009,AFG,"Afghanistan, Islamic Republic of",17,310,131001.1,0.5008731,2.210803,0.4462171,21.41619
2010,AFG,"Afghanistan, Islamic Republic of",17,344,152371.5,0.5529516,2.369484,0.5250934,20.98113
2011,AFG,"Afghanistan, Islamic Republic of",17,332,172750.8,0.534571,2.200665,0.6116461,20.31532
2012,AFG,"Afghanistan, Islamic Republic of",16,336,192246.8,0.5391661,2.120887,0.632651,18.68661
2013,AFG,"Afghanistan, Islamic Republic of",16,374,207825.6,0.5973716,2.23949,0.7005585,18.24937
2014,AFG,"Afghanistan, Islamic Republic of",15,403,218847.1,0.6402598,2.289403,0.7448776,18.60202
2015,AFG,"Afghanistan, Islamic Republic of",15,395,237002.4,0.628006,2.147885,0.9115415,19.38264
2016,AFG,"Afghanistan, Islamic Republic of",15,401,254951.5,0.6371963,2.094214,1.052141,19.39977
2017,AFG,"Afghanistan, Islamic Republic of",15,401,270303.5,0.6371963,2.0194,1.203873,19.65121
2018,AFG,"Afghanistan, Islamic Republic of",14,462,273334.9,0.7290997,2.232554,1.599371,19.51436
2004,ALB,Albania,16,197,369245.3,7.773723,9.676817,4.225089,50.05661
2005,ALB,Albania,17,242,429054.1,9.452555,11.69609,9.257524,53.3541
2006,ALB,Albania,17,291,514442.1,11.24088,13.82393,13.86882,58.94596
2007,ALB,Albania,17,399,616765.3,15.18248,18.60144,19.3616,63.87857
2008,ALB,Albania,16,511,632022.7,19.23358,23.49872,28.62653,58.48402
2009,ALB,Albania,16,524,672179.2,19.70803,24.0059,32.94143,58.76021
2010,ALB,Albania,16,529,793727.3,19.89051,24.13042,34.1368,64.02862
